,period,Alaska Natural Gas Gross Withdrawals (Million Cubic Feet per Day),Colorado Natural Gas Gross Withdrawals (Million Cubic Feet per Day),Louisiana Natural Gas Gross Withdrawals (Million Cubic Feet per Day),New Mexico Natural Gas Gross Withdrawals (Million Cubic Feet per Day),Ohio Natural Gas Gross Withdrawals (Million Cubic Feet per Day),Oklahoma Natural Gas Gross Withdrawals (Million Cubic Feet per Day),Pennsylvania Natural Gas Gross Withdrawals (Million Cubic Feet per Day),Texas Natural Gas Gross Withdrawals (Million Cubic Feet per Day),West Virginia Natural Gas Gross Withdrawals (Million Cubic Feet per Day),Year,Month
0,2006-01-01,9244,3344,3649,4406,247,4412,503,17026,588,2006,1
1,2006-02-01,9681,3357,3687,4418,244,4442,534,16952,611,2006,2
2,2006-03-01,9288,3340,3775,4460,238,4472,487,17141,599,2006,3
3,2006-04-01,8745,3314,3772,4393,236,4563,469,17220,584,2006,4
4,2006-05-01,7770,3325,3822,4430,230,4567,459,17297,608,2006,5
5,2006-06-01,8330,3313,3858,4456,228,4760,480,17234,616,2006,6
6,2006-07-01,7865,3299,3789,4463,224,4700,455,17273,606,2006,7
7,2006-08-01,8192,3357,3785,4466,224,4664,469,17375,654,2006,8
8,2006-09-01,8642,3329,3810,4505,228,4722,481,17575,628,2006,9
9,2006-10-01,9084,3380,3799,4473,240,4747,481,17553,622,2006,10
10,2006-11-01,9268,3369,3786,4447,249,4732,465,17641,645,2006,11
11,2006-12-01,9369,3202,3776,4327,252,4739,505,17679,652,2006,12
12,2007-01-01,10019,3377,3718,4201,252,4634,521,17566,617,2007,1
13,2007-02-01,10510,3358,3672,4250,249,4850,553,18044,615,2007,2
14,2007-03-01,10078,3396,3750,4287,243,5019,505,18509,609,2007,3
15,2007-04-01,9495,3475,3794,4273,240,4778,486,18549,619,2007,4
16,2007-05-01,8441,3462,3866,4345,234,4979,475,18805,626,2007,5
17,2007-06-01,9040,3485,3875,4341,232,4916,497,19080,631,2007,6
18,2007-07-01,8531,3477,3869,4323,228,4902,471,19125,635,2007,7
19,2007-08-01,8899,3393,3759,4217,228,4924,486,19431,629,2007,8
20,2007-09-01,9389,3617,3784,4363,233,4892,498,19564,662,2007,9
21,2007-10-01,9855,3456,3789,4284,245,4945,499,19755,628,2007,10
22,2007-11-01,10059,3543,3785,4262,254,4909,482,20088,673,2007,11
23,2007-12-01,10159,3209,3793,3997,257,4888,523,20268,657,2007,12
24,2008-01-01,9833,3707,3797,3820,243,5018,567,20241,662,2008,1
25,2008-02-01,9963,3645,3791,3958,232,5144,581,20613,676,2008,2
26,2008-03-01,9894,3679,3820,4128,234,5074,549,20917,663,2008,3
27,2008-04-01,9323,3900,3852,4157,232,5208,529,21066,662,2008,4
28,2008-05-01,8290,3707,3934,4170,226,5215,517,21391,658,2008,5
29,2008-06-01,8875,3576,3989,3975,224,5241,540,21446,670,2008,6
30,2008-07-01,8375,3834,4008,4179,220,5256,512,21547,674,2008,7
31,2008-08-01,8739,4056,3896,4092,220,4896,529,21777,678,2008,8
