,period,Alaska Field Production of Crude Oil (Thousand Barrels per Day),Colorado Field Production of Crude Oil (Thousand Barrels per Day),Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),New Mexico Field Production of Crude Oil (Thousand Barrels per Day),North Dakota Field Production of Crude Oil (Thousand Barrels per Day),Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),Texas Field Production of Crude Oil (Thousand Barrels per Day),Year,Month
0,1960-01-01,1.0,,,,,,,1960,1
1,1960-02-01,1.0,,,,,,,1960,2
2,1960-03-01,1.0,,,,,,,1960,3
3,1960-04-01,0.0,,,,,,,1960,4
4,1960-05-01,0.0,,,,,,,1960,5
5,1960-06-01,1.0,,,,,,,1960,6
6,1960-07-01,1.0,,,,,,,1960,7
7,1960-08-01,1.0,,,,,,,1960,8
8,1960-09-01,1.0,,,,,,,1960,9
9,1960-10-01,3.0,,,,,,,1960,10
10,1960-11-01,4.0,,,,,,,1960,11
11,1960-12-01,5.0,,,,,,,1960,12
12,1961-01-01,6.0,,,,,,,1961,1
13,1961-02-01,9.0,,,,,,,1961,2
14,1961-03-01,10.0,,,,,,,1961,3
15,1961-04-01,13.0,,,,,,,1961,4
16,1961-05-01,15.0,,,,,,,1961,5
17,1961-06-01,18.0,,,,,,,1961,6
18,1961-07-01,19.0,,,,,,,1961,7
19,1961-08-01,21.0,,,,,,,1961,8
20,1961-09-01,22.0,,,,,,,1961,9
21,1961-10-01,23.0,,,,,,,1961,10
22,1961-11-01,27.0,,,,,,,1961,11
23,1961-12-01,26.0,,,,,,,1961,12
24,1962-01-01,26.0,,,,,,,1962,1
25,1962-02-01,27.0,,,,,,,1962,2
26,1962-03-01,27.0,,,,,,,1962,3
27,1962-04-01,28.0,,,,,,,1962,4
28,1962-05-01,28.0,,,,,,,1962,5
29,1962-06-01,29.0,,,,,,,1962,6
30,1962-07-01,28.0,,,,,,,1962,7
31,1962-08-01,29.0,,,,,,,1962,8
32,1962-09-01,28.0,,,,,,,1962,9
33,1962-10-01,29.0,,,,,,,1962,10
34,1962-11-01,29.0,,,,,,,1962,11
35,1962-12-01,29.0,,,,,,,1962,12
36,1963-01-01,30.0,,,,,,,1963,1
37,1963-02-01,29.0,,,,,,,1963,2
38,1963-03-01,29.0,,,,,,,1963,3
39,1963-04-01,29.0,,,,,,,1963,4
40,1963-05-01,29.0,,,,,,,1963,5
41,1963-06-01,29.0,,,,,,,1963,6
42,1963-07-01,29.0,,,,,,,1963,7
43,1963-08-01,29.0,,,,,,,1963,8
44,1963-09-01,30.0,,,,,,,1963,9
45,1963-10-01,30.0,,,,,,,1963,10
46,1963-11-01,30.0,,,,,,,1963,11
47,1963-12-01,30.0,,,,,,,1963,12
48,1964-01-01,30.0,,,,,,,1964,1
49,1964-02-01,31.0,,,,,,,1964,2
50,1964-03-01,28.0,,,,,,,1964,3
51,1964-04-01,30.0,,,,,,,1964,4
52,1964-05-01,31.0,,,,,,,1964,5
53,1964-06-01,31.0,,,,,,,1964,6
54,1964-07-01,30.0,,,,,,,1964,7
55,1964-08-01,30.0,,,,,,,1964,8
56,1964-09-01,30.0,,,,,,,1964,9
57,1964-10-01,31.0,,,,,,,1964,10
58,1964-11-01,30.0,,,,,,,1964,11
59,1964-12-01,30.0,,,,,,,1964,12
60,1965-01-01,30.0,,,,,,,1965,1
61,1965-02-01,30.0,,,,,,,1965,2
62,1965-03-01,30.0,,,,,,,1965,3
63,1965-04-01,30.0,,,,,,,1965,4
64,1965-05-01,30.0,,,,,,,1965,5
65,1965-06-01,31.0,,,,,,,1965,6
66,1965-07-01,30.0,,,,,,,1965,7
67,1965-08-01,31.0,,,,,,,1965,8
68,1965-09-01,30.0,,,,,,,1965,9
69,1965-10-01,30.0,,,,,,,1965,10
70,1965-11-01,30.0,,,,,,,1965,11
71,1965-12-01,32.0,,,,,,,1965,12
72,1966-01-01,32.0,,,,,,,1966,1
73,1966-02-01,34.0,,,,,,,1966,2
74,1966-03-01,31.0,,,,,,,1966,3
75,1966-04-01,31.0,,,,,,,1966,4
76,1966-05-01,37.0,,,,,,,1966,5
77,1966-06-01,36.0,,,,,,,1966,6
78,1966-07-01,39.0,,,,,,,1966,7
79,1966-08-01,42.0,,,,,,,1966,8
80,1966-09-01,41.0,,,,,,,1966,9
81,1966-10-01,47.0,,,,,,,1966,10
82,1966-11-01,50.0,,,,,,,1966,11
83,1966-12-01,51.0,,,,,,,1966,12
